No, param001, param002, param003, param004, param005, param006, param007, param008, param009, param010, param011, param101, param102, param103, param104, param105, param106, param111, param112, param113, param114, param115, param116, param201, param202, param301, param302, param303, param304, param311, param314, param401, param402, param411, param412, param501
10001, 16, 2.7, 9.6, 16.1, 9.5, 1.9, 2.9, 4.8, 5.1, 4.8, 4.6, 20, _Clay, 8, 44, 92, 158800, 20, îSê´ìy, _Clay, 17, 2, 0, 4, _SY295, 67, 1, 0, 2, 26, 1, 8.7, 2.4, 8.3, 0.9, 0.1
10002, 14, 9.1, 9.9, 11.1, 9.8, 7.5, 0.8, 2.8, 8.7, 7, 7.6, 13, _Clay, 13, 15, 237, 170700, 14, îSê´ìy, _Clay, 36, 22, 194, 4, _SY295, 35, 1, 0, 1, 75, 2, 7.9, 0.3, 9.4, 0, 0.2
10003, 22, 11.6, 4.5, 8, 4.4, 0.5, 1.9, 0.7, 3, 7.5, 2.3, 20, _Clay, 34, 2, 256, 59200, 14, çªéøìy, _Sandy, 48, 32, 38, 2, _SY390, 27, 0, 1, 1, 70, 1, 2.2, 1.8, 3, 1.4, 0.4
10004, 26, 12.9, 9.9, 19.3, 9.8, 2.7, 5.9, 11.6, 9.1, 6.8, 7.8, 13, _Sandy, 18, 18, 265, 103000, 14, çªéøìy, _Sandy, 3, 14, 110, 1, _SY390, 89, 1, 1, 2, 68, 1, 8.2, 4.4, 7, 0.5, 0.3
10005, 17, 10.1, 8.7, 18.4, 8.6, 1.3, 5.7, 6, 6.3, 1.3, 5.9, 16, _Clay, 13, 34, 192, 130900, 16, çªéøìy, _Sandy, 16, 38, 93, 3, _SY295, 38, 0, 0, 2, 58, 2, 7.1, 5.2, 7.7, 0.7, 0.2
10006, 28, 7.4, 7.5, 17.5, 7.4, 1.8, 0.2, 7.3, 4.7, 10.8, 1.9, 19, _Sandy, 8, 5, 119, 158700, 18, îSê´ìy, _Clay, 28, 17, 76, 5, _SY390, 53, 1, 0, 2, 48, 2, 4, 0, 2.3, 0, 0.2
10007, 12, 8.6, 4.8, 11.1, 4.7, 0.9, 3.3, 2.2, 4.4, 3.7, 3.5, 12, _Sandy, 44, 21, 128, 3500, 18, îSê´ìy, _Clay, 34, 44, 147, 5, _SY390, 49, 0, 0, 1, 46, 1, 4.5, 2.9, 4.6, 1.7, 0.5
10008, 27, 13.7, 7.8, 12.5, 7.7, 4.8, 1.6, 4.3, 6.8, 2.6, 5.2, 12, _Clay, 13, 21, 264, 170700, 12, çªéøìy, _Sandy, 47, 37, 270, 5, _SY390, 88, 1, 0, 1, 31, 2, 6.9, 1, 5.1, 1.4, 0.3
10009, 10, 1.9, 5.1, 6.1, 5, 2.8, 0.4, 0.9, 3.3, 0.3, 3, 15, _Clay, 49, 37, 273, 15400, 12, çªéøìy, _Sandy, 2, 20, 42, 5, _SY295, 84, 0, 0, 2, 29, 2, 3.2, 0.1, 4.9, 0, 0.1
10010, 14, 3.2, 2.5, 9.4, 2.4, 1, 0.5, 6.9, 1.8, 6.1, 1.4, 18, _Sandy, 33, 8, 283, 59200, 12, çªéøìy, _Sandy, 8, 2, 113, 4, _SY295, 80, 0, 1, 1, 27, 2, 1.9, 0.1, 2.1, 0.2, 0.5
10011, 25, 13.5, 9.4, 16.6, 9.3, 7.8, 1.1, 10, 9, 6.2, 8.1, 11, _Clay, 28, 24, 210, 87100, 14, çªéøìy, _Sandy, 21, 26, 96, 1, _SY390, 29, 1, 1, 1, 83, 1, 8.7, 0.4, 8, 0.6, 0.4
10012, 30, 1.7, 6.7, 10.3, 6.6, 1.9, 1.2, 9.5, 3.7, 5, 2.7, 15, _Clay, 13, 40, 219, 130800, 14, çªéøìy, _Sandy, 27, 8, 168, 5, _SY390, 25, 0, 1, 2, 81, 1, 2, 0.2, 6.6, 1.1, 0.3
10013, 20, 12, 5.5, 9.4, 5.4, 0.6, 0.8, 4.5, 3.9, 9.6, 1.4, 18, _Sandy, 8, 11, 146, 158700, 16, çªéøìy, _Sandy, 39, 32, 151, 2, _SY295, 40, 1, 0, 2, 71, 2, 5.1, 0.2, 2.6, 0, 0.2
10014, 24, 13.3, 2.8, 12.6, 2.7, 0, 0.6, 3.5, 1, 9.5, 0.7, 11, _Sandy, 43, 27, 155, 3500, 16, çªéøìy, _Sandy, 45, 14, 223, 1, _SY295, 36, 0, 0, 2, 69, 2, 1.4, 0, 1, 0.2, 0.1
10015, 18, 5.3, 5.8, 14, 5.7, 2.8, 0.2, 2.3, 5.3, 3.4, 3.7, 11, _Clay, 13, 27, 291, 170600, 20, çªéøìy, _Sandy, 7, 7, 45, 2, _SY295, 74, 1, 0, 1, 53, 1, 3.5, 0.1, 3.9, 0.1, 0.3
