No, íÁëÃâÑí∑, íÁëÃïù, ç∂âEï«ëÃçÇÇ≥, ñÓî¬ÇÃëSí∑, íÜãlìyìVí[çÇÇ≥, íÁäOãÊä‘ínï\ñ , íÁì‡ãÊä‘ínï\ñ , à¯í£çﬁä‘äu, à¯í£çﬁà íu, ç›óàínî’èdó , ç›óàínî’ãÊï™, ç›óàínî’Níl, ç›óàínî’ñÄéCäp, ç›óàínî’îSíÖóÕ, ç›óàínî’ïœå`åWêî, íÜãlÇﬂèdó , íÜãlÇﬂãÊï™, íÜãlÇﬂNíl, íÜãlÇﬂñÄéCäp, íÜãlÇﬂîSíÖóÕ, ñÓî¬å^, ñÓî¬çﬁóø, à¯í£çﬁíºåa, à¯í£çﬁçﬁóøî‘çÜ, ï†ãNÇµçﬁéø, ï†ãNÇµî‘çÜ, íÁäOë§êÖà _èÌéû, íÁì‡ë§êÖà _èÌéû, íÁäOë§êÖà _ínêkéû, íÁì‡ë§êÖà _ínêkéû, êkìx
20001,20,5.7,4,6.9,3.9,0,0,1.6,0.5,12, _Sandy,7,24,165,179400,12, _Sandy,20,42,190,3, _SY390,35,1,1,6,0.1,0,0.7,0,0.1
20002,29,8.2,6.8,12,6.7,3.1,0,1.6,5.7,20, _Clay,28,7,242,59700,13, _Clay,43,28,192,4, _SY390,67,0,1,5,4.3,0,4.2,0,0.1
20003,23,13.3,9.7,13.3,9.6,0,0.8,1.6,7.1,18, _Sandy,27,7,136,139100,17, _Clay,35,22,9,5, _SY390,28,1,0,1,8.4,0.1,2.2,0.6,0.5
20004,13,10.6,8.5,12.4,8.4,0,1,1.6,4.9,12, _Clay,11,21,272,118900,15, _Sandy,42,34,69,3, _SY295,90,1,1,3,3,0.2,2,0.7,0.1
20005,17,11.8,5.9,15.7,5.8,0,0.9,0.8,2.7,16, _Clay,21,35,10,59000,15, _Clay,2,27,70,3, _SY390,40,1,1,2,5.5,0.4,4.4,0.6,0.4
20006,21,13.1,3.2,9.3,3.1,0,0.6,1.6,1.2,20, _Clay,32,4,48,198200,16, _Clay,13,20,71,3, _SY390,55,1,1,2,2.1,0.4,1.2,0.3,0.1
20007,26,1.2,8.6,11,8.5,2.4,0,0.8,2.8,15, _Sandy,42,18,87,138300,16, _Sandy,25,13,72,4, _SY295,71,0,1,1,3.8,0,7.5,0,0.3
20008,20,6.3,3.5,4.3,3.4,0,0.8,0.8,1,13, _Sandy,41,18,281,18700,20, _Sandy,16,7,189,4, _SY390,32,1,1,7,2.8,0.5,2.6,0.3,0.2
20009,24,7.6,8.9,15.6,8.8,0,2.5,1.6,7.6,17, _Clay,0,32,20,157800,11, _Clay,28,44,190,5, _SY390,48,0,1,6,5,2.3,3.9,0.8,0.4
20010,14,4.9,7.7,14.7,7.6,0,2.4,0.8,5.7,20, _Sandy,36,1,155,137700,18, _Clay,35,12,249,5, _SY295,44,1,1,8,6.6,0.1,3.5,0.4,0.1
20011,19,6.1,5,8.3,4.9,0,1.7,1.6,3.2,15, _Sandy,46,15,194,77800,19, _Sandy,46,4,250,3, _SY390,60,1,1,8,3.2,0.4,4.2,0.2,0.3
20012,23,7.4,2.3,11.6,2.2,0.2,0,1.6,0.9,19, _Sandy,5,29,232,17900,19, _Clay,6,42,251,3, _SY295,76,1,1,7,0.4,0,0.9,0,0.1
20013,13,4.6,9.2,18.8,9.1,0,4.1,0.8,4.9,12, _Clay,41,43,68,196800,17, _Clay,13,9,11,4, _SY390,72,1,0,10,6.7,2.3,5.7,4,0.2
20014,17,5.9,6.5,12.4,6.4,1.4,0,1.6,6,16, _Clay,0,12,106,136900,17, _Sandy,25,2,12,4, _SY295,88,1,0,9,2.2,0,5.8,0,0.5
20015,29,3.2,5.4,11.6,5.3,0,0.1,0.8,4,20, _Sandy,35,26,242,116700,14, _Clay,32,14,72,5, _SY295,84,0,1,1,3.1,0,4.6,0,0.1
20016,12,4.4,2.7,5.2,2.6,0.8,0,1.6,1.8,14, _Sandy,46,40,280,56900,15, _Sandy,43,7,73,5, _SY390,34,0,1,1,1.2,0,1.6,0,0.4
20017,27,9.5,5.6,6.5,5.5,0,0.3,1.6,3.3,12, _Clay,45,40,174,136300,19, _Sandy,35,1,190,3, _SY295,61,0,0,6,4.2,0.2,1.7,0.1,0.3
20018,18,6.8,4.5,5.7,4.4,0,0.4,0.8,2,15, _Sandy,29,9,10,116100,17, _Sandy,42,13,249,4, _SY295,57,1,1,9,1,0,1.4,0.1,0.4
20019,22,8,9.9,17,9.8,0,1.4,1.6,3.4,20, _Sandy,40,23,48,56200,17, _Clay,2,6,250,4, _SY390,73,0,1,8,8.2,0.3,8.2,0.5,0.2
20020,26,9.3,7.2,10.6,7.1,0,1.3,1.6,1.8,14, _Clay,50,37,87,195400,17, _Sandy,13,44,251,5, _SY295,89,0,1,8,4,0.6,3.4,0.4,0.4
20021,17,6.5,6,9.7,5.9,0,1.3,0.8,5.2,17, _Clay,34,6,222,175200,15, _Sandy,20,11,11,5, _SY390,85,1,0,10,5.3,0.7,2.9,0.2,0.1
20022,21,7.8,3.3,13,3.2,0,0.8,1.6,2.4,12, _Sandy,45,20,261,115300,15, _Clay,32,4,12,3, _SY295,35,1,0,9,2.1,0.6,3,0.1,0.3
20023,25,9.1,8.7,14.7,8.6,2.3,0,0.8,5.7,16, _Sandy,4,34,299,55500,16, _Sandy,43,42,13,3, _SY390,50,0,0,9,3.4,0,5.3,0,0.5
20024,15,6.3,7.5,13.8,7.4,2.8,0,1.6,4.5,19, _Clay,39,2,135,35300,13, _Clay,50,9,73,4, _SY295,47,1,0,1,5.5,0,4.9,0,0.2
20025,10,11.4,2.4,7.1,2.3,0,0.8,1.6,1.3,17, _Sandy,38,2,29,114700,18, _Clay,42,3,190,4, _SY295,74,1,0,7,0.9,0.7,1.2,0.5,0.1
20026,14,12.7,7.8,8.8,7.7,0,2.8,0.8,3.7,12, _Sandy,49,16,67,54800,18, _Clay,2,41,191,5, _SY390,89,1,0,6,6.5,0.4,7.1,1.9,0.3
20027,18,13.9,5.1,12,5,0,2.1,1.6,4.7,16, _Sandy,8,30,106,194000,18, _Sandy,13,33,192,5, _SY390,39,1,0,5,3.3,0.8,3.3,1.4,0.5
20028,22,2.1,2.4,5.6,2.3,0.2,0,0.8,1.8,20, _Clay,18,44,144,134100,19, _Clay,25,26,193,3, _SY295,55,0,0,5,0.3,0,2.3,0,0.2
20029,11,5.7,9.6,17.4,9.5,0,0.3,1.6,4.3,16, _Sandy,12,27,213,133500,11, _Sandy,35,25,71,4, _SY295,28,1,0,2,6.1,0.2,3.7,0,0.1
20030,22,3,8.5,16.6,8.4,0,0.6,0.8,2.7,19, _Clay,48,41,48,113300,19, _Clay,42,37,130,5, _SY390,90,0,1,5,0.8,0.5,3.3,0,0.2
20031,29,11.8,3.4,8.4,3.3,0,0.6,1.6,2.4,20, _Clay,27,38,58,13100,14, _Clay,16,10,250,4, _SY295,33,1,1,9,2,0.1,3,0.4,0.3
20032,23,10.3,7.6,9.3,7.5,0,2,0.8,4,18, _Sandy,21,21,232,132100,12, _Sandy,35,15,11,5, _SY295,45,0,1,10,5.1,1.3,4.3,1.1,0.2
20033,14,7.6,6.4,8.4,6.3,0,1.9,1.6,2.8,11, _Clay,6,35,67,111900,20, _Clay,42,27,70,3, _SY295,41,1,0,3,6.3,1.4,3.7,0.7,0.4
20034,15,1,7.6,17.4,7.5,2.7,0,1.6,6.7,11, _Clay,1,18,47,151500,13, _Clay,17,38,14,3, _SY295,26,1,1,8,5.2,0,3.2,0,0.4
20035,21,9.9,2.6,9.4,2.5,0.1,0,0.8,0.9,12, _Clay,31,15,56,51300,18, _Clay,43,10,134,5, _SY390,34,0,1,2,2.5,0,1.6,0,0.4
20036,19,3.2,2.9,4.4,2.8,0,0.1,0.8,0.6,14, _Sandy,41,29,289,70800,13, _Clay,46,42,252,3, _SY295,77,0,0,8,0.5,0,0.2,0,0.1
20037,10,13.5,9.8,11.6,9.7,0,0.9,1.6,9,17, _Clay,25,43,125,50600,11, _Sandy,2,9,12,4, _SY390,73,1,1,10,5.9,0.7,1.1,0.6,0.2
20038,21,10.8,8.6,10.7,8.5,0,1,0.8,6.6,11, _Sandy,9,12,260,30500,18, _Clay,9,22,71,5, _SY295,69,0,0,2,8.4,0,1,0.5,0.4
20039,23,5.1,7.7,12.9,7.6,0,2.5,0.8,6.8,19, _Sandy,34,37,144,49200,12, _Sandy,2,44,252,4, _SY295,90,0,0,8,5.1,1.9,2.8,0.1,0.4
20040,24,12.4,6.9,15.3,6.8,0,0.2,1.6,6.5,18, _Clay,8,17,28,68000,15, _Sandy,46,21,133,4, _SY295,44,0,0,4,0.5,0.1,1.1,0.1,0.4
20041,28,13.7,4.2,8.9,4.1,0,0.3,0.8,3.3,12, _Sandy,18,31,66,8100,15, _Clay,6,14,134,5, _SY390,60,1,0,3,3,0.2,3,0.1,0.1
20042,18,11,3,8,2.9,0,0.3,0.8,1.9,15, _Sandy,3,45,202,187000,13, _Clay,13,26,194,5, _SY295,56,0,1,5,0.5,0.2,2.1,0.1,0.3
20043,13,9.5,7.2,8.8,7.1,0,1.4,0.8,3.1,13, _Clay,48,27,76,106900,11, _Clay,32,31,254,4, _SY295,68,1,0,7,2.3,0.3,2.7,0.2,0.2
20044,25,6.7,6,7.9,5.9,0,1.3,1.6,1.9,16, _Sandy,33,41,211,86800,18, _Clay,39,43,14,4, _SY390,64,1,0,9,4,0.4,2.3,0,0.3
20045,15,4,4.8,7,4.7,0,1.2,0.8,4.2,20, _Clay,17,10,47,66600,16, _Sandy,46,11,73,5, _SY295,61,0,1,2,4.7,0.5,1.9,1,0.5
20046,27,1.2,3.6,6.2,3.5,0,1,1.6,2.7,13, _Sandy,1,24,182,46500,13, _Clay,2,23,133,3, _SY390,57,1,0,4,2,0.5,1.4,0.7,0.2
20047,10,2.5,9,17.5,8.9,0,3,0.8,6.3,17, _Sandy,12,38,221,185600,14, _Sandy,13,16,134,3, _SY390,73,1,0,3,3.2,2.3,7.4,2.1,0.4
20048,14,3.8,6.4,11.2,6.3,0,2.5,0.8,4,11, _Sandy,22,7,259,125700,14, _Sandy,24,8,135,3, _SY295,89,0,0,3,5.2,0,3.6,1.6,0.1
20049,26,1,5.2,10.3,5.1,0,2.2,1.6,2.9,15, _Clay,6,21,95,105500,12, _Clay,32,21,195,4, _SY390,85,1,1,5,2.5,0.2,3,1.1,0.3
20050,30,2.3,2.5,3.9,2.4,0,1.1,0.8,1.3,19, _Clay,17,35,133,45700,12, _Sandy,43,13,196,5, _SY295,35,1,1,4,2.1,0.3,2.2,0.5,0.5
20051,24,7.4,5.5,14.9,5.4,0,2.4,0.8,2.6,17, _Sandy,16,35,27,125100,16, _Sandy,35,7,13,5, _SY295,61,1,0,10,3.2,0.3,4.5,0.6,0.4
20052,15,4.6,4.3,14,4.2,0,2,1.6,3.6,20, _Clay,0,4,163,104900,14, _Sandy,42,20,72,3, _SY390,58,0,1,2,3.5,0.5,3.5,0.2,0.1
20053,15,11.2,5.5,13.5,5.4,0,0.5,1.6,3,20, _Clay,47,32,143,144500,17, _Sandy,17,31,16,3, _SY390,43,0,0,8,1.6,0.3,2.3,0,0.1
20054,27,8.4,4.3,12.6,4.2,0,0.5,0.8,1.8,13, _Sandy,31,1,278,124300,15, _Clay,24,43,75,4, _SY295,39,1,1,1,2.9,0.4,1.8,0,0.3
20055,21,13.5,7.3,13.9,7.2,0,0.8,0.8,2.7,11, _Clay,30,1,173,4700,19, _Clay,16,37,193,5, _SY295,66,0,1,6,1.8,0.5,2,0.6,0.2
20056,22,6.9,8.5,13.4,8.4,0,1.8,1.6,8.1,11, _Clay,26,29,152,44300,13, _Sandy,43,3,136,5, _SY390,51,0,0,2,6.5,0.4,7.8,1.5,0.2
20057,16,12,3.4,6.7,3.3,0,0.6,1.6,2.9,19, _Sandy,25,29,47,123700,17, _Sandy,35,42,253,3, _SY295,78,0,1,8,1.2,0,2.6,0.3,0.1
20058,20,13.3,8.8,18,8.7,0,2.1,0.8,7.1,13, _Sandy,35,43,85,63800,18, _Clay,46,35,254,3, _SY295,28,0,1,7,7.9,0.5,4.1,1.2,0.3
20059,10,10.5,7.6,17.1,7.5,0,2.1,1.6,5.2,17, _Clay,20,12,221,43700,15, _Clay,2,2,14,4, _SY390,90,1,0,10,3.6,0.8,3.6,0.8,0.5
20060,15,11.8,4.9,10.7,4.8,0,1.5,0.8,2.9,11, _Clay,30,26,259,182800,16, _Sandy,13,40,15,4, _SY295,40,0,0,9,4.6,0.9,4.3,0.5,0.2
20061,26,9.1,3.7,9.8,3.6,0,1.2,1.6,1.8,14, _Sandy,14,40,95,162600,13, _Clay,20,7,74,5, _SY390,36,1,1,1,2,0.8,3.2,0.2,0.4
20062,30,10.3,9.2,11.6,9.1,0,3.7,0.8,4.3,19, _Sandy,25,9,133,102700,13, _Sandy,32,45,75,3, _SY295,52,1,1,1,9.1,3.4,5.8,0.7,0.1
20063,13,11.6,6.5,14.8,6.4,0,2.8,1.6,5.9,13, _Clay,35,23,171,42900,14, _Sandy,43,38,76,3, _SY390,68,0,1,10,5.1,0.3,6.3,0.4,0.3
20064,28,3.6,9.5,16.2,9.4,0,4,0.8,8.5,11, _Sandy,34,23,66,122300,18, _Sandy,35,31,193,4, _SY390,29,1,0,6,4.8,3.8,8.3,3.7,0.2
20065,12,4.8,6.8,9.8,6.7,0,3.2,1.6,5.6,15, _Sandy,44,37,104,62400,19, _Clay,46,24,194,4, _SY295,44,0,0,5,6.1,0.5,4.4,2.9,0.5
20066,20,7.3,9.5,14.8,9.4,0,0.6,1.6,4,14, _Sandy,14,20,181,141700,19, _Sandy,17,10,196,5, _SY390,76,0,0,4,1.6,0.3,4.9,0.5,0.4
20067,14,12.4,4.4,8,4.3,0,0.2,1.6,1.6,12, _Clay,13,20,75,22100,14, _Sandy,9,4,14,5, _SY295,37,0,0,10,2.8,0,1.5,0.1,0.3
20068,25,9.7,3.2,7.2,3.1,0,0.2,0.8,0.7,15, _Sandy,48,34,211,1900,11, _Clay,16,16,73,3, _SY295,33,1,1,2,0.3,0.1,1.1,0,0.5
20069,30,11,8.6,18.5,8.5,0,1.1,1.6,8.2,19, _Sandy,8,3,249,141100,12, _Sandy,27,9,74,4, _SY390,49,1,1,2,6.2,0.8,7.6,0.4,0.2
20070,20,8.2,7.4,8,7.3,0,1.2,0.8,5.9,13, _Clay,43,17,85,120900,19, _Sandy,35,21,134,4, _SY295,45,1,1,4,1.8,1,6.4,0.3,0.4
20071,11,5.5,6.2,7.1,6.1,0,1.2,0.8,4.1,16, _Sandy,27,31,221,100700,17, _Clay,42,33,193,5, _SY390,41,0,0,6,3.7,1.1,5.3,0.1,0.1
20072,15,6.7,3.5,10.3,3.4,0,0.8,1.6,2,20, _Sandy,38,45,259,40900,17, _Sandy,2,26,194,5, _SY295,57,0,0,6,1.2,0.1,1.8,0,0.3
20073,27,4,2.3,9.4,2.2,0,0.6,0.8,1.1,14, _Clay,22,14,94,20700,15, _Clay,9,38,254,3, _SY390,54,1,1,8,1.5,0.1,1.2,0.5,0.5
20074,14,6.5,5.1,14.5,5,0,1.9,0.8,4.6,12, _Sandy,43,42,171,99900,15, _Sandy,32,24,256,4, _SY295,85,0,1,7,4.7,1.3,3.5,1.6,0.4
20075,18,7.8,2.4,8.1,2.3,0,1,1.6,1.8,17, _Sandy,2,11,210,40100,16, _Clay,43,17,257,4, _SY390,35,0,1,6,1.7,0.9,1,0.8,0.1
20076,11,12.6,6.9,13.5,6.8,0,0.2,1.6,1.7,17, _Sandy,6,7,16,178600,18, _Clay,13,8,136,3, _SY295,90,0,1,3,5.2,0,0.2,0,0.1
20077,22,9.9,5.7,12.6,5.6,0,0.4,0.8,0.7,20, _Clay,42,21,152,158400,16, _Sandy,20,21,195,4, _SY390,86,1,0,5,1.2,0.1,5.6,0.1,0.3
20078,10,12.4,8.4,17.5,8.3,0,1.3,0.8,6.1,18, _Sandy,11,4,229,38700,16, _Clay,43,6,197,5, _SY390,51,0,0,4,4.6,1,2.1,0.2,0.3
20079,25,4.4,3.3,10.8,3.2,0,0.4,0.8,2.1,16, _Sandy,10,4,123,118100,11, _Clay,35,45,15,3, _SY390,78,1,1,10,3.2,0.2,3.1,0.3,0.2
20080,15,1.7,2.1,9.9,2,0,0.3,1.6,1.1,20, _Clay,46,18,259,97900,18, _Sandy,42,12,74,3, _SY295,75,0,0,2,1,0.2,1.9,0.2,0.3
20081,23,4.2,4.8,5.3,4.7,0,1.3,1.6,1.9,18, _Sandy,15,1,36,177200,19, _Clay,13,43,76,4, _SY390,40,1,0,1,3.7,0.2,1.5,0.9,0.3
20082,14,1.4,3.6,4.4,3.5,0,1.1,1.6,3.2,12, _Clay,0,15,171,157000,17, _Sandy,20,10,136,5, _SY295,36,0,1,3,1.3,0.3,1.2,0.6,0.5
20083,26,11.8,2.5,3.6,2.4,0,0.8,0.8,1.9,15, _Clay,35,29,7,136900,14, _Clay,27,22,195,3, _SY390,33,1,1,6,1.6,0.3,0.8,0.3,0.1
20084,30,13.1,7.9,14.9,7.8,0,3,1.6,5.8,19, _Sandy,45,43,45,77000,15, _Clay,39,15,196,3, _SY295,49,0,1,5,3.8,1.9,5.8,1.2,0.4
20085,20,10.3,6.7,14,6.6,0,2.8,0.8,4.4,13, _Sandy,30,12,181,56800,12, _Sandy,46,27,256,4, _SY390,45,1,0,7,5,2.1,5,0.7,0.5
20086,11,7.6,5.5,13.1,5.4,0,2.5,1.6,3.3,16, _Clay,14,26,16,36700,20, _Clay,2,40,16,4, _SY295,41,0,1,10,5.4,2.2,4.1,0.3,0.2
20087,15,8.8,2.8,6.7,2.7,0,0,0.8,0.3,20, _Clay,24,40,55,175800,20, _Clay,13,32,17,5, _SY390,57,0,1,9,1.7,0,0.3,0,0.4
20088,13,2.1,3.1,11.3,3,0,0.1,0.8,2.4,13, _Clay,34,9,288,195300,15, _Sandy,16,19,135,3, _SY295,34,0,1,4,2.5,0,1.6,0,0.1
20089,17,3.3,8.5,13,8.4,0,0.7,1.6,6,17, _Clay,44,23,26,135500,15, _Clay,27,12,136,3, _SY390,49,1,0,4,4.2,0.2,1.3,0.5,0.3
20090,29,13.7,7.3,12.1,7.2,0,0.8,0.8,4.1,20, _Sandy,29,37,162,115300,13, _Sandy,35,24,195,4, _SY295,46,0,1,6,6.4,0.3,1.2,0.5,0.5
20091,12,1.9,4.6,5.8,4.5,0,0.7,1.6,2.1,15, _Sandy,39,6,200,55400,13, _Sandy,46,17,196,4, _SY295,61,0,1,5,2.7,0.4,3.1,0.4,0.2
20092,24,12.2,3.4,4.9,3.3,0,0.6,0.8,1.1,18, _Clay,23,20,35,35300,11, _Clay,2,29,256,5, _SY390,58,1,0,8,3.1,0.4,2.3,0.2,0.4
20093,28,13.5,8.8,16.2,8.7,0,2.1,1.6,2.3,12, _Clay,34,34,74,174400,11, _Sandy,13,22,257,5, _SY295,73,0,0,7,5.9,0,3.2,0.9,0.1
20094,19,10.7,7.6,15.3,7.5,0,2.1,0.8,6.4,15, _Sandy,18,3,209,154200,18, _Sandy,20,34,16,3, _SY390,70,1,1,9,7.5,0.2,2.9,0.5,0.3
20095,23,12,5,9,4.9,0,1.5,1.6,3.6,20, _Sandy,28,17,248,94300,19, _Clay,32,27,17,3, _SY295,85,1,1,9,3.7,0.5,4,0.3,0.5
20096,13,9.2,3.8,8.1,3.7,0,1.3,1.6,2.4,13, _Clay,13,31,83,74200,16, _Sandy,39,39,77,4, _SY390,82,0,1,1,1.4,0.6,3,0.1,0.2
20097,25,6.5,2.6,7.2,2.5,0,0.9,0.8,1.4,16, _Sandy,48,45,219,54000,14, _Sandy,46,7,137,5, _SY295,78,0,0,3,1.6,0.5,2,0.8,0.3
20098,29,7.8,8,8.9,7.9,0,3.5,1.6,4.1,11, _Sandy,7,14,257,193100,14, _Clay,6,44,138,5, _SY295,28,0,0,3,3.9,2.7,4.5,3.2,0.1
20099,12,9,5.3,12.2,5.2,0,2.5,0.8,4.9,15, _Sandy,18,28,296,133300,15, _Sandy,17,37,139,3, _SY390,44,0,0,2,4.6,0,4.7,2.2,0.3
20100,18,11.4,7.1,12.6,7,2.4,0,1.6,5.6,16, _Sandy,1,42,26,192500,17, _Clay,16,43,15,4, _SY295,67,1,1,10,5.6,0,5.3,0,0.4
20101,19,4.8,8.3,12.1,8.2,0,0.9,1.6,4,16, _Sandy,48,25,5,33100,20, _Sandy,43,9,259,4, _SY295,52,1,0,6,2.6,0.4,3.3,0.4,0.4
20102,30,2,7.1,11.2,7,0,1,1.6,2.5,19, _Clay,32,39,141,12900,18, _Clay,50,22,18,5, _SY390,48,0,0,8,4.9,0.5,2.9,0.4,0.5
20103,24,7.2,2,4.5,1.9,0.1,0,1.6,0.5,17, _Sandy,31,39,35,92300,12, _Clay,42,16,136,3, _SY390,75,0,0,4,0.3,0,0.3,0,0.4
