No,a1,a2,a3,a4,a5,a6,b1,b2,b3,b4,c1,c2,d1,e1_0,e1_1,e2_0,e2_1,e3_0,e3_1,e4_0,e4_1,e5_0,e5_1,e6_0,e6_1,e7_0,e7_1,e8_0,e8_1,e9_0,e9_1,e10_0,e10_1,e11_0,e11_1,e12_0,e12_1
0,999.99,999.99,999.99,999.99,55.64,55.64,45.41,287.54,20.50,247.76,64.50,999.99,999.99,2,235,0,110,1,353,0,165,3,102,1,153,5,102,1,153,8,140,3,210,63,140,17,210
1,999.99,999.99,999.99,999.99,999.99,999.99,17.07,11.20,11.78,11.26,25.82,27.82,999.99,0,235,0,110,0,353,0,165,0,86,0,129,0,86,0,129,0,140,0,210,0,140,0,210
2,999.99,999.99,999.99,999.99,14.83,14.83,31.37,71.32,5.24,76.86,47.70,23.43,999.99,2,180,0,83,2,270,0,125,3,110,5,165,3,102,3,153,4,185,6,280,26,185,32,280
3,999.99,999.99,999.99,999.99,2.96,2.96,27.20,20.09,3.90,22.64,88.45,7.35,999.99,0,235,0,110,0,353,0,165,0,102,0,153,0,102,0,153,0,185,0,280,0,185,2,280
4,999.99,999.99,999.99,999.99,66.42,66.42,24.55,115.28,8.68,120.61,73.22,999.99,999.99,1,235,0,110,1,353,0,165,0,86,0,129,0,86,0,129,0,185,0,280,0,185,0,280
5,999.99,999.99,999.99,999.99,999.99,999.99,61.55,7.20,3.98,6.01,79.63,12.26,999.99,0,235,0,110,0,353,0,165,0,102,0,153,0,102,0,153,0,185,0,280,0,185,0,280
6,999.99,999.99,999.99,999.99,3.46,3.46,20.84,91.38,11.63,94.33,44.71,51.63,999.99,6,180,0,83,5,270,0,125,2,86,3,129,11,102,11,153,28,140,45,210,55,140,53,210
7,999.99,999.99,999.99,999.99,20.23,20.23,3.77,6.01,2.19,5.73,4.57,1.97,999.99,5,180,0,83,12,270,1,125,0,86,0,129,0,102,0,153,0,140,3,210,0,140,0,210
8,999.99,999.99,999.99,999.99,3.98,3.98,48.83,210.84,2.66,188.51,76.63,1.58,999.99,1,180,0,83,2,270,0,125,0,86,0,129,1,86,0,129,0,140,0,210,1,140,0,210
9,999.99,999.99,999.99,999.99,999.99,999.99,39.15,253.29,30.33,224.38,99.93,999.99,999.99,1,235,0,110,0,353,0,165,0,102,0,153,0,94,0,141,0,140,0,210,0,140,0,210
10,999.99,999.99,999.99,999.99,999.99,999.99,29.45,36.36,12.93,42.58,46.62,44.08,999.99,1,235,0,110,10,353,1,165,0,86,0,129,0,110,5,165,0,140,0,210,0,140,7,210
11,999.99,999.99,999.99,999.99,999.99,999.99,33.12,15.46,8.18,14.88,999.99,999.99,999.99,0,180,0,83,0,270,0,125,0,102,0,153,0,102,0,153,0,140,0,210,0,140,0,210
