No,a1,a2,a3,a4,a5,a6,b1,b2,b3,b4,c1,c2,d1,e1_0,e1_1,e2_0,e2_1,e3_0,e3_1,e4_0,e4_1,e5_0,e5_1,e6_0,e6_1,e9_0,e9_1,e10_0,e10_1
20001,999.99,999.99,999.99,999.99,53.49,53.49,999.99,70.67,35.62,75.57,999.99,999.99,115.00,0,235,0,110,0,353,0,165,0,110,1,165,0,185,0,280
20002,999.99,42.86,43.72,999.99,16.38,16.75,16.20,27.29,10.86,27.08,24.15,22.13,5.05,13,235,1,110,9,353,1,165,2,86,1,129,2,185,2,280
20003,999.99,5.06,5.06,1.41,1.00,1.00,6.14,8.40,2.34,3.35,6.35,2.99,2.80,83,235,6,110,293,353,15,165,200,110,747,165,86,140,320,210
20004,999.99,999.99,999.99,999.99,24.46,24.46,47.84,39.89,26.11,39.01,59.43,93.47,9.70,1,180,0,83,0,270,0,125,0,102,0,153,0,185,0,280
20005,999.99,17.09,18.39,1.82,1.59,3.52,4.47,62.69,1.63,2.68,5.09,1.02,7.02,11,235,1,110,472,353,6,165,8,102,67,153,3,185,24,280
20006,999.99,999.99,999.99,999.99,19.83,19.83,13.46,8.93,6.80,7.87,18.14,32.07,17.27,1,235,0,110,0,353,0,165,2,102,0,153,2,185,0,280
20007,999.99,999.99,999.99,999.99,24.73,24.73,271.72,158.57,15.94,214.84,999.99,44.43,192.00,0,180,0,83,1,270,0,125,0,110,19,165,0,185,6,280
20008,999.99,999.99,999.99,999.99,999.99,999.99,60.56,72.12,19.40,69.42,999.99,999.99,4.35,1,235,0,110,1,353,0,165,7,110,5,165,1,185,0,280
20009,999.99,999.99,999.99,6.16,2.68,5.31,8.40,38.38,2.39,22.52,11.33,1.94,9.40,3,235,0,110,6,353,1,165,1,86,0,129,0,185,0,280
20010,999.99,999.99,999.99,999.99,999.99,999.99,7.86,8.14,12.61,7.17,25.44,55.12,5.07,2,180,0,83,0,270,0,125,1,102,0,153,0,185,0,280
20011,999.99,999.99,999.99,999.99,999.99,999.99,33.95,29.28,7.97,30.93,86.70,50.48,9.60,0,235,0,110,1,353,0,165,0,102,1,153,0,185,0,280
20012,999.99,999.99,29887.95,999.99,94.19,94.19,371.81,205.78,59.76,219.57,999.99,999.99,65.50,2,180,0,83,2,270,0,125,0,102,1,153,0,185,1,280
20013,999.99,999.99,999.99,999.99,999.99,999.99,11.87,88.81,9.13,91.74,17.99,14.93,10.73,29,235,2,110,54,353,4,165,20,102,34,153,6,140,10,210
20014,999.99,41.95,41.95,2.14,0.60,0.64,16.21,10.93,2.28,2.15,10.81,6.10,8.68,92,180,5,83,102,270,6,125,12,102,14,153,12,140,14,210
20015,999.99,22.07,22.07,999.99,5.47,5.47,33.13,105.42,15.56,120.86,999.99,69.08,5.23,4,180,0,83,8,270,1,125,0,86,1,129,1,185,2,280
20016,999.99,462.96,462.96,999.99,18.20,18.20,149.85,681.20,21.37,725.15,999.99,999.99,8.50,2,235,0,110,2,353,0,165,3,94,4,141,2,185,3,280
20017,999.99,57.41,57.41,7.99,6.64,6.64,26.07,170.16,8.68,122.01,25.34,64.76,2.97,11,180,1,83,1,270,0,125,3,86,0,129,2,140,0,210
20019,999.99,7.99,8.02,1.91,1.49,2.73,4.37,13.00,2.19,4.58,10.41,2.90,3.47,19,235,1,110,13,353,1,165,12,86,10,129,9,185,8,280
20020,999.99,999.99,999.99,18.67,7.12,7.12,18.21,64.86,3.96,54.61,25.07,21.33,6.44,2,180,0,83,1,270,0,125,2,86,1,129,3,185,1,280
20021,999.99,999.99,999.99,999.99,999.99,999.99,13.33,26.26,16.49,21.04,17.14,17.69,3.80,16,235,1,110,17,353,1,165,2,102,2,153,1,140,1,210
20022,999.99,999.99,999.99,999.99,16.96,16.96,79.49,115.98,19.18,123.11,999.99,999.99,21.54,3,180,0,83,4,270,0,125,4,110,5,165,1,140,1,210
20023,999.99,54.20,54.20,999.99,1.20,1.20,51.29,119.73,6.94,129.97,999.99,14.80,6.88,36,235,2,110,453,353,22,165,5,86,59,129,1,140,9,210
20024,999.99,5.74,6.24,999.99,2.83,3.00,5.69,11.25,4.23,10.78,10.36,11.45,3.95,25,180,1,83,16,270,1,125,11,102,7,153,14,140,8,210
20025,999.99,999.99,999.99,999.99,48.97,48.97,93.26,5.14,5.40,5.22,70.47,29.02,216.00,0,180,0,83,0,270,0,125,0,102,0,153,0,140,0,210
20026,999.99,999.99,999.99,6.61,6.15,6.15,8.00,7.75,2.05,4.27,11.13,9.41,4.73,3,235,0,110,5,353,0,165,1,102,2,153,0,140,2,210
20027,999.99,999.99,999.99,999.99,11.87,11.87,37.22,65.52,4.45,68.47,94.99,999.99,24.83,0,235,0,110,0,353,0,165,0,110,0,165,0,140,0,210
20028,999.99,999.99,13338.74,999.99,15.81,15.81,289.37,537.98,18.07,705.05,999.99,56.75,29.00,0,180,0,83,4,270,0,125,0,86,1,129,0,140,0,210
20029,999.99,5.24,5.24,999.99,6.18,6.18,14.57,79.90,18.31,67.82,53.99,82.03,3.72,18,180,1,83,4,270,0,125,29,110,5,165,10,140,2,210
20030,999.99,999.99,999.99,999.99,4.76,4.77,161.82,70.22,7.96,75.12,999.99,20.27,99.00,0,235,0,110,2,353,0,165,0,86,0,129,0,185,0,280
20031,999.99,999.99,999.99,999.99,13.88,13.88,31.13,265.41,4.81,324.50,42.25,22.08,16.00,3,180,0,83,6,270,0,125,5,110,11,165,1,185,2,280
20032,999.99,999.99,999.99,999.99,999.99,999.99,31.38,67.31,12.16,61.97,38.58,13.95,5.06,10,180,1,83,18,270,1,125,14,86,26,129,2,185,3,280
